#{"t_start": 1780245470.2937655, "env_id": "Ant-v4"}
r,l,t
-20.344253,28,1.073462
-42.704374,57,1.158967
-107.958084,107,1.338914
-30.443591,19,1.371007
-151.441881,107,1.545143
-121.749149,64,1.640407
-10.676536,16,1.664698
-16.894308,19,1.69337
-120.017378,114,1.868758
-31.420682,31,1.916385
-36.864933,34,1.967599
-23.792948,23,2.002512
-17.415866,55,2.088113
-6.114376,13,2.107913
-40.218566,70,2.216366
-107.936419,71,2.325057
-33.032506,17,2.356913
-38.641988,76,2.47226
-125.57892,117,2.65967
-61.113132,55,2.741579
-105.910935,88,2.883392
-1043.988256,1000,6.466745
-25.66385,25,6.502987
-24.805639,33,6.550689
-70.034729,83,6.672799
-56.660756,31,6.718441
-55.712835,21,6.750151
-135.036952,112,6.919599
-15.331574,25,6.956963
-43.081872,26,6.995867
-25.466539,76,7.113286
-6.923801,15,7.135982
-49.528297,27,7.182013
-24.672023,50,7.268867
-19.084694,14,7.290632
-78.755972,70,7.425243
-14.35788,14,7.44712
-84.965962,96,7.594846
-20.547732,12,7.617451
-10.910201,25,7.664059
-50.345076,70,7.784252
-42.080522,30,7.832899
-39.082194,34,7.88437
-71.568484,108,8.066187
-98.844045,92,8.205686
-43.618773,58,8.314319
-98.072459,62,8.441296
-42.423337,33,8.491896
-25.216857,25,8.532455
-29.363891,26,8.587482
-24.49181,33,8.641059
-16.950295,33,8.691048
-28.083083,24,8.728229
-17.261,11,8.745502
-20.256124,21,8.779626
-91.080924,81,8.908906
-1064.630699,1000,12.646085
-63.161061,46,12.726843
-137.10363,109,12.903916
-33.618937,65,13.011755
35.938284,55,13.09294
-17.89265,18,13.119853
-6.905939,13,13.139158
-26.962847,14,13.160537
-1021.121019,1000,14.792961
-74.337724,42,14.856841
-1016.184696,1000,18.447306
-38.820059,25,18.486814
-50.502156,38,18.545491
-16.544362,21,18.577456
-64.517696,61,18.674287
-43.506839,26,18.722919
-951.471731,1000,22.429366
-27.755447,43,22.502655
-71.598031,47,22.579289
-47.969664,34,22.645321
-24.539656,16,22.673764
-3.402293,24,22.716249
-42.004585,19,22.747807
-20.966724,51,22.848179
-15.792256,28,22.899448
-13.191672,14,22.922806
-22.12934,19,22.953924
-1037.311437,955,24.630353
-36.918106,63,24.74471
-58.722727,45,24.823481
-14.134703,45,24.898
-230.963621,195,25.235799
-210.34232,161,25.50947
-98.180117,101,25.683104
-42.798187,40,25.756119
-27.159334,15,25.78394
-65.923902,46,25.88569
-15.065982,42,25.957558
-35.013487,13,25.980083
-25.329374,36,27.517249
-53.772198,43,27.586769
-73.879914,79,27.72306
-2.246013,13,27.749268
-56.074869,42,27.817442
-7.09561,15,27.841333
-31.726493,23,27.878143
-36.82739,54,27.964765
-74.597724,49,28.04225
-36.907692,45,28.117417
-15.136424,12,28.136651
-15.669259,24,28.186783
-61.701474,108,28.376108
-15.974107,14,28.398689
-1085.997614,1000,30.166231
-66.418898,43,30.236357
-14.133638,19,30.267114
-45.675824,34,30.322524
-45.937456,31,30.379149
-74.252303,46,30.461682
-3.233617,8,30.484848
-68.976964,75,30.617371
-38.7028,35,30.680874
-143.266129,99,30.853804
-8.073617,10,30.870942
-118.089091,81,31.038595
-9.471634,17,31.068307
-18.761884,18,32.994157
-16.547775,22,33.028667
-50.784967,36,33.088174
-43.198912,29,33.159793
-10.703873,12,33.189007
-98.482886,106,33.379186
-67.327313,68,33.493891
-11.586683,31,33.551713
-82.961501,85,33.68669
-96.237863,75,33.820001
-52.406694,68,33.929611
