#{"t_start": 1780237883.336712, "env_id": "Hopper-v4"}
r,l,t
32.595705,38,1.064131
80.165967,90,1.205374
35.218439,47,1.268884
106.711017,79,1.377468
41.632532,38,1.439477
45.941143,74,1.552587
54.999918,56,1.647186
59.75297,70,1.750663
183.949346,155,2.555166
169.137116,141,2.754872
129.312815,102,2.899481
35.78615,39,2.962861
73.306107,69,3.063946
32.601803,41,3.482511
134.258764,104,3.659257
135.273011,116,3.822697
36.169601,34,3.870547
117.799065,87,3.991659
261.059483,144,4.201485
176.0761,141,4.737599
110.946883,83,4.852696
116.779761,83,4.981539
81.035031,52,5.053019
111.51325,73,5.154508
60.780531,62,5.239865
199.95941,123,5.748613
51.701687,47,5.819064
251.701772,158,6.038986
33.340003,34,6.086112
264.708791,151,6.331986
27.360941,27,6.370931
117.66755,80,6.817854
100.840572,66,6.91013
245.921064,128,7.097654
255.849689,134,7.287406
253.277554,131,7.814162
258.732576,136,8.014146
85.117046,54,8.089947
110.426955,71,8.192344
90.739042,59,8.274547
239.052597,128,8.467022
259.464033,138,9.053437
232.604407,111,9.214175
236.63604,114,9.381491
193.888618,102,9.531122
114.511966,71,9.654771
229.046223,109,10.167024
232.990387,114,10.328567
243.718255,121,10.504614
247.011408,125,10.683169
227.029356,112,11.214416
154.552597,79,11.335539
236.288191,114,11.508273
205.83965,101,11.656876
226.491193,111,11.844706
232.879678,113,12.408424
240.420076,121,12.600729
226.485253,115,12.786454
230.990711,107,12.949418
222.51422,107,13.109568
223.604756,107,13.630979
229.711771,108,13.797976
232.769244,110,14.011629
235.529708,114,14.177411
234.210132,111,14.765354
224.198317,104,14.931935
226.664563,105,15.703745
234.776878,115,15.882615
217.083866,98,16.028306
226.788153,105,16.559047
224.823562,106,16.715428
229.334437,109,16.897213
230.510239,108,17.056705
228.074678,108,17.217329
216.746796,96,17.761456
224.779061,104,17.92818
225.37429,104,18.08699
218.085277,97,18.240405
214.909904,95,18.382062
221.939151,101,18.975805
229.908735,109,19.171391
203.208585,99,19.338187
211.450444,101,19.524503
211.367705,101,19.674799
221.706953,99,20.306573
231.421439,110,20.527248
236.966749,116,20.742523
229.661894,109,20.904675
237.73674,116,21.114963
229.939691,110,21.721568
212.53526,92,21.863211
233.082965,113,22.062239
206.078404,96,22.213529
226.680649,103,22.385412
236.739394,114,23.059151
237.036581,115,23.233986
194.23605,88,23.365814
217.427144,97,23.529612
218.011218,95,23.704087
217.40454,100,24.347815
205.131449,101,24.503273
226.50566,104,24.666415
231.345971,110,24.844403
220.066521,101,25.006894
223.619694,102,25.649247
237.507461,115,25.821211
239.832693,120,26.003254
231.264988,110,26.178423
248.740805,130,26.819124
227.52684,110,26.985369
233.866135,116,27.207244
233.691574,115,27.427047
244.032782,124,28.115542
236.001729,115,28.300192
236.1808,112,28.496667
234.983661,113,28.695874
240.839432,122,28.901821
225.090397,105,29.502588
256.481651,135,29.762774
234.556783,112,29.965789
248.107182,128,30.172913
232.435906,111,30.771415
252.203011,132,30.983397
247.645128,127,31.212298
233.278347,112,31.404873
247.885004,127,32.10071
248.304753,128,32.30999
232.101668,113,32.487836
215.216992,107,32.682918
257.294267,136,32.891157
246.401669,126,33.530734
251.402708,129,33.727449
231.116705,109,33.895321
250.64595,132,34.092957
247.363817,129,34.711966
249.2921,127,34.900221
239.664157,119,35.075885
244.986308,125,35.261909
240.914471,122,35.922788
247.857919,127,36.110367
252.174318,131,36.302845
247.243059,127,36.50524
258.474428,139,37.188673
243.567085,126,37.389927
247.081165,126,37.619698
246.919994,125,38.012557
259.139512,138,38.71807
275.679285,155,38.937533
270.423049,151,39.166264
254.575388,134,39.810535
262.431474,143,40.007933
236.067654,117,40.177627
253.546863,133,40.384182
242.346509,123,40.966964
275.287126,155,41.188302
267.668823,149,41.402862
274.25842,155,41.620269
282.862326,160,42.291035
247.760337,128,42.482167
267.674092,146,42.689858
291.364046,171,43.35468
247.377415,127,43.571931
280.119109,159,43.824328
254.658374,132,44.014771
299.957371,179,44.740656
78.853141,72,44.843765
117.311472,94,44.980723
66.125579,63,45.077063
89.890325,76,45.22472
63.753992,57,45.74479
286.196883,164,46.017696
58.776665,52,46.097099
272.649615,150,46.35594
278.202477,156,47.143389
104.835734,87,47.275047
105.656648,84,47.399298
271.245659,150,47.637397
118.992096,92,47.780137
268.730097,148,49.085196
246.413154,129,49.286577
250.460946,129,49.5061
263.108559,141,49.735717
277.18031,156,50.437257
287.751398,166,50.717674
248.688657,128,50.934758
277.129264,157,51.622479
268.962257,147,51.842887
269.923093,149,52.07533
264.977228,144,52.303362
275.471389,155,52.961152
264.634364,144,53.179951
220.130082,99,53.330719
269.525361,149,53.944517
266.24797,145,54.163484
237.301973,118,54.34302
266.528311,146,54.56028
263.540001,145,55.196851
246.044183,125,55.378057
293.399652,175,55.634442
294.109793,173,56.321765
290.80644,171,56.608434
279.472746,159,56.866141
270.210917,150,57.110014
286.793007,167,57.816159
237.929592,119,58.017046
267.640942,149,58.260561
289.388186,170,58.991776
305.631706,186,59.27208
224.274595,107,59.449231
244.427999,125,59.641967
303.297582,184,60.39535
288.377507,169,60.692111
218.718129,99,60.846009
292.294755,173,61.605572
306.278353,185,61.890476
260.141152,140,62.948554
241.926582,124,63.616341
233.162462,112,63.803025
279.461445,159,64.074271
274.446421,154,64.303365
309.569815,189,65.047687
280.770166,160,65.351937
287.903317,167,65.640314
395.585558,275,66.494797
360.938364,240,66.924377
407.676575,289,67.798996
452.614629,334,68.785496
430.136652,313,69.314155
418.862569,301,70.281814
370.575717,252,70.66619
266.117064,233,71.513048
359.995098,327,72.048649
1083.008696,962,74.63856
917.352016,884,76.997763
271.487991,241,77.45265
324.189743,298,78.375431
243.030689,215,78.739099
455.14505,426,79.88313
270.283878,244,81.34102
248.800238,219,81.689818
248.653707,217,82.520414
425.994094,392,83.167369
1034.652414,1000,85.619644
204.888984,180,86.398315
269.393858,242,86.816251
211.88962,181,87.609069
249.227651,135,87.855131
385.726952,352,88.804826
817.545984,787,90.605516
22.880317,30,90.648511
21.320726,29,90.690695
26.037337,32,90.740278
26.640291,31,90.787102
33.679373,37,90.841002
36.675808,38,90.896625
31.226036,36,90.948472
15.003435,22,91.401871
13.537156,21,91.439518
14.538854,21,91.472784
27.257281,31,91.527864
17.602122,24,91.577686
14.870029,22,91.616843
27.831679,30,91.668392
30.599894,33,91.72252
14.614019,22,91.777006
13.624415,20,91.815439
20.080286,28,91.860215
15.995053,23,91.893317
12.699441,20,91.927413
16.136118,22,91.981686
15.378299,22,92.036346
14.144145,23,92.088056
25.199058,27,92.127251
21.73224,26,92.164689
12.9299,20,92.19312
14.674404,21,92.226196
19.717876,26,92.263469
17.433104,24,92.740387
27.252328,29,92.785036
23.127208,28,92.825545
19.81441,25,92.861056
27.973435,29,92.932623
22.147716,27,92.974286
19.531471,25,93.017405
26.193395,28,93.076042
19.596733,26,93.123623
16.921465,24,93.16252
19.044797,26,93.204701
26.263436,30,93.266264
23.088121,28,93.326583
13.738289,21,93.358074
16.82603,24,93.393424
16.406405,25,93.4286
18.337326,26,93.478368
20.720622,26,93.517125
