#{"t_start": 1780233588.456754, "env_id": "Pendulum-v1"}
r,l,t
-1211.427381,200,1.442503
-1428.38525,200,1.702168
-1529.348047,200,1.958822
-1122.777664,200,2.219442
-1256.879028,200,2.475951
-1098.432819,200,6.19111
-918.107142,200,6.451557
-1220.364196,200,6.707926
-1465.348956,200,6.993486
-1119.497195,200,7.26002
-1320.295716,200,10.508228
-1076.085608,200,10.780855
-1423.039302,200,11.064993
-1100.700242,200,11.348667
-1335.121636,200,11.625926
-1004.919495,200,15.015447
-1052.438421,200,15.291544
-908.084459,200,15.56331
-1003.079287,200,15.880409
-1031.618564,200,16.161721
-992.021314,200,19.196847
-882.5066,200,19.490769
-642.211534,200,19.768981
-1178.546961,200,20.058331
-997.333619,200,20.367306
-523.829738,200,23.336536
-680.981048,200,23.624287
-927.953782,200,23.917999
-856.205939,200,24.237926
-928.050299,200,24.542916
-766.358732,200,27.923535
-499.349198,200,29.063837
-858.307599,200,29.382794
-533.526263,200,29.710828
-673.759673,200,30.011281
-641.597653,200,33.33793
-495.589995,200,33.657198
-682.607948,200,33.975583
-635.358048,200,34.280456
-826.943917,200,34.570219
-667.473658,200,37.725445
-136.287482,200,38.004408
-529.197159,200,38.292045
-262.658266,200,38.575032
-395.900456,200,38.858457
-130.606416,200,39.154839
-394.401323,200,43.142106
-272.932417,200,43.510487
-141.43948,200,43.831218
-268.247863,200,44.159987
-268.877885,200,44.465501
-265.987134,200,48.402892
-453.94336,200,48.711347
-140.548593,200,48.997125
-135.259922,200,49.319766
-276.755694,200,49.62998
-261.272396,200,53.512985
-134.333962,200,53.864796
-134.983673,200,54.245779
-132.487683,200,54.570214
-248.274241,200,54.898138
-252.648422,200,58.982956
-134.081771,200,60.113681
-138.764538,200,60.456704
-131.59149,200,60.889723
-137.005653,200,61.26404
-5.067565,200,65.232488
-134.728067,200,65.658073
-134.302194,200,65.979569
-267.125383,200,66.336024
-134.817146,200,66.709344
-266.033312,200,70.450661
-334.00522,200,70.792425
-253.662665,200,71.079139
-135.064946,200,71.371014
-133.015176,200,71.649973
-261.683281,200,75.312661
-260.609774,200,75.625715
-381.543769,200,75.885546
-136.782448,200,76.135766
-407.578951,200,76.4145
-272.305367,200,79.413834
-509.37318,200,79.726618
-367.053671,200,79.992015
-3.834831,200,80.307197
-137.377288,200,80.665566
-132.396725,200,80.92879
-263.679766,200,84.285797
-133.575511,200,84.564871
-1.631937,200,84.881027
-1.52832,200,85.185158
-2.023697,200,85.522245
-132.037631,200,89.490021
-391.87651,200,90.567752
-258.189525,200,90.927436
-133.098498,200,91.271398
-267.334329,200,91.597472
-2.988744,200,95.065546
-130.530056,200,95.370475
-127.468252,200,95.697444
-260.412222,200,96.000049
-396.822598,200,96.342323
-254.632179,200,99.839725
-129.248073,200,100.140281
-133.203619,200,100.432626
-315.738987,200,100.737317
-249.017029,200,101.028923
-381.604043,200,104.504669
-298.279379,200,104.799406
-133.196798,200,105.083858
-129.451381,200,105.37998
-0.640607,200,105.681807
-130.553715,200,109.760854
-134.61727,200,110.040675
-3.11087,200,110.331001
-134.206017,200,110.61949
-131.703991,200,110.905425
-264.980439,200,114.425577
-248.703501,200,114.713431
-266.283822,200,115.004005
-297.846629,200,115.299231
-266.240599,200,115.580384
-127.642387,200,119.355757
-130.137724,200,119.638098
-132.474462,200,119.941873
-130.861365,200,121.013669
-0.506631,200,121.314752
-2.29955,200,121.634433
