#{"t_start": 1780240542.622753, "env_id": "Walker2d-v4"}
r,l,t
-5.00252,15,1.018424
-4.662207,10,1.032004
2.185251,17,1.055243
-8.202945,29,1.09499
2.495195,29,1.133637
-0.241489,10,1.151581
1.763835,13,1.168667
2.813699,16,1.189926
5.525379,25,1.222253
-0.060772,11,1.236515
-4.260833,12,1.258836
-0.286153,15,1.280119
0.727213,17,1.302415
0.319193,14,1.320643
-1.498644,10,1.333528
-1.856078,12,1.349746
-2.662946,15,1.369043
1.822568,25,1.401438
-3.708475,23,1.431698
1.039912,12,1.447506
0.460076,31,1.488361
-1.890876,23,1.518801
-0.506811,10,1.53271
-2.326911,13,1.549664
-3.855201,15,1.568841
1.207837,23,1.598923
0.150269,24,1.644444
-5.02744,22,1.686932
3.828143,21,1.714558
1.689415,14,3.213247
-1.325109,9,3.226095
-2.406564,10,3.239778
-1.603777,14,3.259017
5.410553,30,3.301016
-1.504965,31,3.34175
-2.145363,30,3.381798
2.001774,18,3.405728
0.00494,20,3.43156
-3.329025,8,3.442042
3.684512,15,3.461776
-7.034346,25,3.494447
1.425017,13,3.51119
-4.318204,17,3.533609
14.128081,43,3.589813
1.848757,14,3.609045
-3.984379,27,3.644939
7.166164,22,3.69322
7.693089,34,3.740672
-3.434697,7,3.74974
1.630222,27,3.785066
1.292701,13,3.801893
-1.423607,11,3.816401
2.655689,14,3.838722
-5.588432,26,3.873986
-0.059107,17,3.896365
-6.548699,18,5.554695
3.042247,19,5.580473
-0.49964,16,5.60225
3.498048,19,5.62702
-2.999797,9,5.63883
1.709581,14,5.65783
-4.374292,9,5.669679
-5.149515,11,5.68422
7.708682,36,5.731473
8.420661,26,5.765575
-9.049529,11,5.780202
0.773407,17,5.802498
-3.622778,16,5.824328
-0.712029,12,5.841306
-0.363561,14,5.860459
22.253153,51,5.933075
6.159163,20,5.960093
4.545422,24,5.99164
9.376146,20,6.018309
3.793857,14,6.036664
2.249559,18,6.060148
2.36562,32,6.103921
9.12723,17,6.12704
0.569479,24,6.158337
1.043505,25,6.19082
3.646242,13,6.208217
-1.393951,30,7.995854
20.142186,46,8.067435
2.011159,16,8.091537
0.794906,15,8.11151
-3.732354,24,8.147832
6.614965,37,8.197963
28.279444,40,8.250774
-0.470187,24,8.282772
-1.55736,15,8.302738
1.374393,19,8.327972
-8.247159,17,8.35062
1.087101,12,8.366825
-1.071058,17,8.389548
2.59086,18,8.413925
12.077587,26,8.448554
10.027965,22,8.480806
1.992176,17,8.505747
-4.957619,9,8.518059
11.514013,20,8.545232
-1.742715,18,8.569268
14.769334,33,8.613544
-3.604919,28,8.651431
-8.948396,29,10.401532
18.589785,44,10.462512
5.906013,18,10.489121
21.525646,50,10.56601
4.340634,15,10.587566
1.720494,22,10.617765
-4.877649,20,10.644405
22.365122,44,10.706026
11.807173,24,10.737986
-6.111311,14,10.756395
3.359953,28,10.7957
-3.148822,13,10.813409
8.014336,24,10.845775
-7.806988,66,10.935416
-0.362816,9,10.947756
4.493696,15,10.970992
1.030142,17,10.99406
1.819195,32,11.037468
28.287297,35,11.084809
-1.479556,26,12.948434
1.272452,14,12.968437
-1.213258,18,12.994953
48.731464,60,13.088657
6.166354,39,13.14345
12.85878,36,13.194653
11.095961,29,13.236068
1.56501,22,13.269114
6.810795,21,13.307466
-1.081411,12,13.324403
-1.683895,18,13.350991
6.68482,25,13.386098
-2.727106,13,13.404593
-1.252901,33,13.459313
-1.066065,21,13.491109
-0.550871,10,13.506819
-2.293158,12,13.523737
23.457118,48,13.593072
-0.781811,37,13.645285
16.191652,38,15.2293
6.718957,36,15.294132
4.49084,19,15.321559
-0.111872,12,15.340404
5.707297,48,15.411817
4.713431,35,15.468627
4.453967,26,15.507255
1.816078,23,15.54465
6.197397,32,15.588782
18.609251,42,15.649935
-1.082668,25,15.687471
-1.614179,18,15.713693
16.862472,43,15.778431
1.541314,32,15.828114
13.572579,30,15.871329
-0.441111,19,15.898554
4.38283,29,15.941345
6.195201,33,15.995817
8.064739,28,17.751292
10.911149,39,17.808125
-3.531201,15,17.83399
2.240154,17,17.85996
-9.939477,17,17.885654
35.906237,52,17.965806
0.506679,14,17.991941
2.006282,16,18.018273
-3.190454,12,18.036431
16.310877,29,18.092708
4.601733,17,18.163811
19.474121,60,18.387237
1.310431,20,18.42224
-6.512756,8,18.43648
-3.502001,13,18.459344
0.767221,24,18.500894
-2.325073,16,18.52855
-2.336665,16,18.555411
15.281151,29,18.60934
6.974874,26,18.654967
11.470179,33,18.712667
27.41242,55,20.547507
12.125767,49,20.617864
1.176801,17,20.640457
17.112893,36,20.689221
22.731932,34,20.733724
3.522975,19,20.758509
16.417482,36,20.808856
20.067287,52,20.916331
2.277505,19,20.950978
12.711251,30,20.998222
11.991903,34,21.042224
-1.931595,19,21.066913
-4.772803,20,21.09308
6.184612,19,21.118712
5.706084,23,21.149539
11.964419,34,21.197055
-1.16054,16,21.218865
-3.134864,13,21.236971
26.606686,36,23.705725
49.431502,63,23.804141
29.473248,64,23.894776
22.94963,42,23.953865
6.766751,19,23.981474
-0.882446,19,24.013871
0.607715,28,24.052088
19.402137,45,24.117311
-0.573015,13,24.134838
28.998158,65,24.222789
3.069949,14,24.242204
1.038708,62,24.328024
8.291003,33,24.373246
0.49542,20,26.215615
3.396766,15,26.236651
4.571761,18,26.26572
-2.406988,11,26.282741
26.704302,39,26.341615
16.200223,30,26.38498
1.4652,22,26.417402
55.028953,69,26.517737
8.815462,26,26.557826
0.344501,14,26.580441
-2.07147,14,26.60131
33.422718,62,26.692422
24.859944,50,26.767197
12.967651,30,26.813528
9.487527,24,26.849456
18.386445,55,26.944035
24.456768,50,28.889256
-0.609988,14,28.910008
17.243094,40,28.9675
88.973138,90,29.104208
-4.267455,10,29.118282
20.523953,45,29.189106
21.880779,54,29.267207
-1.883668,10,29.28133
10.049231,27,29.320326
28.48262,82,29.4385
14.740679,41,29.512651
23.873973,34,29.561194
210.208498,144,31.639025
2.376171,11,31.655016
10.267599,34,31.706577
11.572016,31,31.752837
3.954213,18,31.780322
2.477378,20,31.81202
21.739092,35,31.865402
-1.138251,9,31.878529
41.94754,62,31.985687
-4.864136,15,32.007298
61.742304,79,32.126967
16.367391,36,32.179946
13.434359,28,32.221156
60.619415,104,34.23188
7.64869,42,34.295555
40.377426,68,34.395293
143.317377,122,34.600737
32.405228,54,34.684496
22.32177,48,34.754788
24.509927,43,34.818102
8.85056,26,34.854138
16.668775,34,36.744938
19.151496,39,36.8217
9.651333,53,36.908095
24.920196,38,36.966672
12.728541,34,37.018986
157.401168,95,37.165124
118.005713,98,37.309428
35.744487,66,37.41048
49.616831,57,37.493107
7.887214,26,37.532701
271.378525,183,39.622646
33.30644,44,39.690653
-1.622467,16,39.713743
35.590622,65,39.815696
82.515423,119,39.987611
8.379515,22,40.021758
14.172984,37,40.085059
37.95102,55,42.058169
24.024598,55,42.145045
12.115063,27,42.199869
14.338502,31,42.248229
152.141462,136,42.454597
30.255614,68,42.558076
40.098752,63,42.654701
23.721779,48,42.727477
206.092153,115,44.665236
9.085728,26,44.703461
143.102282,192,45.061686
204.553641,135,45.282677
206.195387,113,46.93891
13.347487,48,47.025607
21.803442,80,47.155104
64.621684,85,47.276207
63.827186,186,47.546583
11.759027,23,47.582698
176.253904,195,49.465877
219.90634,132,49.663874
44.852857,58,49.747996
14.712218,30,49.791035
71.864203,101,49.951235
138.015942,144,51.724324
54.015642,119,51.912997
63.28951,80,52.053266
31.250723,44,52.11679
14.643658,34,52.165806
35.516904,113,52.361327
20.459857,45,52.435322
18.091937,33,54.2535
50.930995,81,54.401663
247.734762,174,54.673414
177.043961,100,54.836821
229.557668,134,57.372241
29.106804,54,57.453417
118.08198,171,57.715747
34.944411,104,57.867234
152.769179,166,58.14936
206.566393,287,60.263264
102.134112,100,60.442932
2.579391,20,60.47233
50.692353,87,60.602357
86.057353,271,62.60471
288.518359,165,62.843574
49.796454,60,62.933102
277.751741,179,64.826293
258.32467,146,65.037552
403.28837,327,67.076538
255.439973,168,67.335372
285.122832,154,67.563817
73.124794,88,67.705805
169.780635,202,69.544728
231.139958,126,69.756826
185.107928,133,70.004434
112.088349,134,71.778072
286.938873,172,72.041171
272.462675,181,72.308015
187.755277,96,73.971702
201.891257,114,74.162639
240.49556,163,74.472672
269.480218,146,74.680522
283.200646,143,76.486052
296.703,171,76.836089
102.195228,181,77.110722
143.142299,176,79.428682
239.745107,137,79.697969
329.843275,259,80.125685
47.080485,135,82.101139
263.20384,144,82.332459
32.727584,61,82.445206
159.750021,231,84.086922
312.803184,203,84.375046
297.888525,170,84.67644
266.31183,138,86.261133
271.196464,162,86.561059
120.588879,90,86.705953
309.302994,194,87.010825
261.660678,164,89.502141
210.739955,125,89.711524
295.340793,189,90.092033
408.244261,257,92.035285
326.217299,395,94.156712
283.84413,165,94.466162
396.34768,264,94.937322
285.699105,187,96.748696
285.697937,170,97.000327
332.656114,221,98.958509
311.950649,190,99.293832
335.937914,201,99.659903
342.831909,249,101.843097
264.262175,155,102.192257
270.773854,143,102.449195
243.815929,131,104.166954
217.023318,115,104.346479
295.550332,169,104.665946
28.416068,45,104.738327
270.289629,176,106.778457
226.569076,133,106.975265
64.479156,164,107.226765
281.105621,151,109.258248
235.921901,169,109.528256
288.266839,176,109.813169
79.724365,103,109.977943
221.152874,117,111.952861
408.567838,284,112.395509
255.864545,143,112.613803
309.583985,173,114.26376
261.031418,157,114.504453
299.586631,174,114.78626
189.17401,110,116.410089
318.595078,223,116.784344
334.879124,202,117.124239
241.624421,129,118.71285
79.551535,156,118.948018
588.550454,445,121.003924
269.585626,152,121.234829
239.850601,175,124.243651
304.772528,183,124.537555
228.157949,135,124.740115
235.702943,134,124.948771
198.844271,116,126.523081
213.96746,134,126.727341
333.045687,199,127.022266
274.557387,165,129.015529
382.333775,285,129.460514
227.696544,129,129.656043
210.232663,122,131.413592
134.114199,210,131.729453
134.788451,208,133.475338
328.026544,203,133.77873
333.68194,233,134.130906
255.488966,127,135.774022
300.78463,199,136.068405
92.753238,151,136.285405
287.733435,158,138.043085
94.652506,223,138.717392
286.976233,176,139.062227
268.197294,146,140.556702
291.912015,167,140.798838
300.941799,162,141.031294
235.696473,122,142.523816
